name,nameCountry,longitud,latitud
Castleknock,Ireland,-9.0248232,53.2760162
Shangmachang,China,127.3305,50.367353
Cuntan,China,106.572803,29.605367
Dalarik,Armenia,43.8717749,40.2272711
Artybash,Russia,87.2508267,51.791159
Stráž nad Nisou,Czech Republic,15.0266516,50.7911439
Zhaowu,China,103.694265,36.1093631
Raffingora,Zimbabwe,30.4386437,-17.0363653
Ardino,Bulgaria,25.9294198,43.8047536
Shaogongzhuang,China,117.155313,39.154261
Guji,China,107.253334,26.443249
Zākhū,Iraq,42.6726771,37.1504622
Walnut Grove,Canada,-122.6562872,49.2165148
Yuanba,China,105.96282,32.323256
Yuelai,China,106.53519,29.72277
Usol’ye,Russia,56.6803807,59.4254685
Carpentras,France,5.0852479,44.0264621
Zielona Góra,Poland,15.4768834,51.9210929
Jardim,Brazil,-56.1494143,-21.4803962
Ágios Spyrídon,Greece,22.4387178,40.2074194
Chilmāri,Bangladesh,89.6616352,25.5810414
Ciénaga,Colombia,-73.9830029,10.8698035
Mascote,Brazil,-39.4450281,-15.6969314
Viline,Ukraine,33.6744583,44.8464736
Chetian,China,113.8853373,22.5805725
Long Xuyên,Vietnam,105.4185406,10.3759416
Jiangdong,China,121.570383,29.866818
Xixia,China,111.482591,33.298364
Stockholm,Sweden,-68.1435046,47.0203207
Sigaozhuang,China,117.26062,39.472976
Langenburg,Canada,-101.71763,50.84999
Hohhot,China,111.749995,40.842356
Laojiangjunjie,China,102.71159,24.67964
Lukovica pri Domžalah,Slovenia,14.6907259,46.1696293
Caucete,Argentina,-64.1266198,-31.4393481
Moosomin,Canada,-101.66766,50.13332
Hobo,Philippines,123.1804731,13.5085076
Uritsk,Russia,30.1775921,59.82941
Zhengcun,China,114.532957,28.955847
Yongxing,China,113.116527,26.12715
Putrajaya,Malaysia,101.6821575,2.9175611
Konstantinovo,Russia,38.0335558,56.5523691
Nanyuan,China,116.3877778,39.7825
Karangbadar Kidul,Indonesia,109.03083,-7.70556
Brandfort,South Africa,26.4577466,-28.6903818
Yunlong,China,117.251076,34.253164
Youxi Chengguanzhen,China,118.188043,26.168922
Rogoźnik,Poland,19.9504449,49.444308
Conde,Brazil,-34.8403408,-7.2893545
Rybinsk,Russia,38.6043668,58.0312993
Natonin,Philippines,121.287152,17.125337
Oruro,Bolivia,-67.1060353,-17.9646772
Vélizy-Villacoublay,France,2.2161608,48.7724625
La Hacienda,Philippines,124.3882585,9.8827617
St. Anton an der Jeßnitz,Austria,15.2299747,48.0147763
Paatan,Philippines,124.848271,7.0773723
Örbyhus,Sweden,17.6375865,60.1386576
Fifi,Morocco,-5.24798,34.94873
Bayt Ta‘mar,Palestinian Territory,35.241822,31.678719
Omsk,Russia,73.2498639,55.0614182
Badaogu,China,117.345479,39.480497
Madur,Indonesia,113.287085,-7.0777326
Sayang Lauq,Indonesia,116.1325,-8.5694
Toubao,China,115.474295,40.256729
Fāqūs,Egypt,31.7977797,30.7292723
Partizansk,Russia,132.8303672,43.3433802
Kidodi,Tanzania,35.9166669,-7.916667
Bridel,Luxembourg,6.0872124,49.6638448
Nuradilovo,Russia,46.4531554,43.2837871
Denver,United States,-104.9739333,39.9311729
Bragança Paulista,Brazil,-46.5423239,-22.9531705
Kwaluseni,Swaziland,31.3484448,-26.4820262
Mibu,Japan,132.5509347,34.6796489
Puncakwangi,Indonesia,107.0716609,-7.2953035
Xiajiashan,China,104.747254,29.677333
Paris 06,France,5.8978018,43.4945737
La Cumbre,Colombia,-76.567956,3.649442
Condado,Brazil,-35.1048713,-7.5944434
Cabanilla,Peru,-70.3494605,-15.6412156
Sindangrasa,Indonesia,106.8370122,-6.6359299
Sukamaju,Indonesia,106.8502879,-6.4185424
Huozhuangzi,China,117.32162,39.293263
Kilifarevo,Bulgaria,25.6162991,42.9856238
Wawu,China,112.461956,26.974959
Dawa-Dawa,Philippines,122.8564594,7.5038886
Shaoha,China,109.77792,29.013167
Gaocheng,China,114.847075,38.021567
Slavs’ke,Ukraine,23.4472258,48.834578
Qiaozhen,China,107.148314,34.477513
Łubnice,Poland,18.2903712,51.1644956
Magan,Russia,129.517113,62.107429
Mata de São João,Brazil,-38.3001614,-12.5327517
Río Ceballos,Argentina,-65.0052144,-31.7436794
Hong Kong,Hong Kong,114.109497,22.396428
Patrocínio,Brazil,-47.058302,-18.998706
Mensalong,Indonesia,116.750397,3.756455
Estrela,Brazil,-51.9640632,-29.501873
Tomay Kichwa,Peru,-76.21194,-10.07722
Moulay Bouchta,Morocco,-5.1262689,34.4912621
Hexing,China,106.8311173,-6.2140375
Mosjøen,Norway,13.2106011,65.8375549
Sofia,Bulgaria,23.3245641,42.6978209
Santo Domingo Este,Dominican Republic,-69.8639751,18.4895862
Boende,Democratic Republic of the Congo,20.8850949,-0.2842862
Donggaocun,China,117.116756,40.104785
Xiaping,China,117.562238,27.568278
Zhangcun,China,125.323544,43.817071
Le Mans,France,0.1924459,47.9956173
Chicago,United States,-87.6087638,41.7458012
San Vicente,Philippines,121.0589081,14.7596318
Kajatian,Philippines,120.953061,5.990033
Dublje,Serbia,19.5121851,44.774428
Guifões,Portugal,-8.6725287,41.2007787
Candelária,Brazil,-52.8312661,-29.7132471
Tarbagatay,Russia,85.6264576,44.3338201
København,Denmark,12.5786568,55.6828987
Trinidad,Peru,-79.033333,-7.35
Bama,Nigeria,13.6883765,11.5218308
Marale,Honduras,-87.1711922,14.8921247
Santa Cruz de Barahona,Dominican Republic,-71.0924706,18.2051988
Chornyanka,Ukraine,33.3646929,46.6522568
Sandnes,Norway,16.0707095,67.1335945
Porto de Mós,Portugal,-8.8165669,39.6022749
Dahay,Philippines,124.7225,6.39694
Sohag,Egypt,31.6956705,26.5590737
Teresita,Philippines,120.9138589,14.3082674
El Rancho,Honduras,-85.75,15.016667
Pamungguan,Indonesia,106.5620398,-7.2560353
Kokstad,South Africa,28.2926361,-26.1332779
Sergiyev Posad,Russia,38.1016955,56.3103675
Dadus,Philippines,124.32167,7.0575
Knivsta,Sweden,17.7824686,59.7222934
Ipoh,Malaysia,101.1064003,4.6096768
Suslonger,Russia,48.2506985,56.3153167
Quipot,Philippines,121.3228399,13.9293954
Shimotoda,Japan,134.9774188,34.9822925
Pore,Colombia,-71.993941,5.7265629
Stoczek Łukowski,Poland,21.97131,51.961354
Tenggina Daya,Indonesia,113.1965,-6.9596
Washington,United States,-77.0336768,38.8987281
Uwa,Indonesia,107.5902556,-6.8637417
Yuecheng,China,120.582633,29.988244
Tortosendo,Portugal,-7.5293225,40.2466889
Huangtian,China,113.814606,22.636828
Guacara,Venezuela,-67.8927472,10.2646995
Haduohe,China,122.018799,47.233746
Yashalta,Russia,42.2634987,46.2646112
Santa Cruz do Rio Pardo,Brazil,-49.6258261,-22.8997858
Sade,Nigeria,10.6731603,11.3557935
Yefremov,Russia,38.0521393,53.0641593
Port Elizabeth,Saint Vincent and the Grenadines,-61.2306446,13.0100514
Desnogorsk,Russia,33.2878545,54.152383
Foundiougne,Senegal,-16.4405872,13.81425
San Vicente,Philippines,121.0589081,14.7596318
Sinajana Village,Guam,144.7546333,13.4623836
Bendilmuning,Indonesia,111.9417,-8.0925
Porkhov,Russia,58.6660975,52.7387427
Bailizhou,China,111.81127,30.400907
Lianga,Philippines,126.0932341,8.6317541
Odiongan,Philippines,121.990643,12.405227
Germiston,South Africa,28.205089,-26.2922169
Chunoyar,Russia,97.3580243,57.4492483
Kawanishi,Japan,139.2162168,37.9092189
Mesiméri,Greece,23.0102888,40.4168034
Santo Niño,Philippines,121.050126,14.3839328
Nivnice,Czech Republic,17.6475832,48.9746444
Kaem,Indonesia,123.8661,-9.7732
Yangjinzhuang,China,117.433236,39.867984
Uchaly,Russia,59.4823216,54.3113742
Fontana,Argentina,-67.5018975,-45.8732238
Waco,United States,-97.8047404,31.1393795
Stepnogorsk,Kazakhstan,71.8852785,52.3518344
Werasari,Indonesia,108.2347863,-7.0453363
Eschweiler,Luxembourg,5.9475635,49.99754
Dongjie,China,119.3028774,26.08603
Zouérat,Mauritania,-12.4753205,22.7325323
Otradnoye,Russia,37.621698,55.86328
Lubbock,United States,-101.85193,33.5465493
Karanggeneng,Indonesia,110.5933862,-7.5173045
Roriz,Portugal,-8.3773116,41.3435561
Jinzao,China,121.1268459,41.095685
Sanli,China,116.746096,24.84662
Nizhnyaya Maktama,Russia,52.4223979,54.8603009
Sumuragung,Indonesia,111.9969626,-7.1665502
Maduao,Philippines,125.62583,7.29417
Oslo,Norway,10.7477822,59.9278844
New Iloilo,Philippines,122.5747412,10.6989729
Guifões,Portugal,-8.6725287,41.2007787
Qingyang,China,107.643631,35.709077
Diwopu,China,87.4741667,43.9072222
Pucacaca,Peru,-76.3440537,-6.8506475
Hashimoto,Japan,139.934112,38.9814589
Nangen,South Korea,127.38583,35.41
Dragash,Kosovo,20.6511592,42.0615398
Skołyszyn,Poland,21.3418674,49.7582153
Gostimë,Albania,20.0181673,40.9942545
Helie,China,122.7613525,40.8570429
Youfang,China,109.07515,32.291013
Vilppula,Finland,25.8771151,62.4693629
Jiangkou,China,108.839557,27.69965
Káto Glikóvrisi,Greece,22.7760837,36.8277257
Sangali,Philippines,122.2124068,7.0762776
Monte Patria,Chile,-70.9586889,-30.6978944
Troyan,Bulgaria,24.7129702,42.8903751
Yelabuga,Russia,52.061524,55.7558426
Mas‘adah,Syria,35.75572,33.23203
Tangzhuang,China,119.745363,32.770894
Bartolomé Masó,Cuba,-76.947022,20.1566488
Krajan Srigonco,Indonesia,112.5618,-8.3418
Dueñas,Philippines,121.0485932,14.5008343
Mouzourás,Greece,24.15476,35.5390834
Sychëvo,Russia,36.2249059,55.9576019
Lavandeira,Portugal,-8.3742728,41.9867326
Guxian,China,111.920465,36.266914
Lijia,China,120.6240412,31.306136
Mörrum,Sweden,14.756367,56.1747912
Cibeuti,Indonesia,108.1888233,-7.3863388
Gaokan,China,122.511257,40.628952
Sułoszowa,Poland,19.7778549,50.2505714
Gayam,Indonesia,105.6984455,-5.7577862
Brańsk,Poland,22.8413044,52.7433639
Carrizal,Venezuela,-67.0166725,10.3846169
Maun,Botswana,23.4180769,-19.9952622
Riangblolong,Indonesia,123.252,-8.314
Strání,Czech Republic,17.6961852,48.9000154
Rakiv Lis,Ukraine,24.9194195,51.6203554
Albion,Mauritius,57.408999,-20.2081037
Cartagena,Colombia,-74.9438915,10.9819737
Maswarah,Yemen,45.72623,14.34399
Santa Rita Village,Guam,144.751572,13.4760985
Faleula,Samoa,-171.8319995,-13.7973358
Głuchołazy,Poland,17.38347,50.31512
Qukës-Skënderbe,Albania,20.4425942,41.0826078
Shahrak,Afghanistan,64.5266446,34.016449
Bi’r Ḩāt,Yemen,48.516388,15.552727
Tampa,United States,-82.4290869,27.9961123
Bulu,Philippines,120.5976797,15.1315727
Kepuh,Indonesia,112.116195,-7.6873253
Ballivor,Ireland,-6.1191333,53.1915379
Velké Svatoňovice,Czech Republic,16.0198605,50.5374971
Lancar,Indonesia,109.7651203,-7.5421424
Rosebank,South Africa,28.044486,-26.1514859
Bolnisi,Georgia,44.5488663,41.4493594
Kurlovo,Russia,40.6134152,55.4563422
Baisha,China,100.222545,26.641315
Khashuri,Georgia,43.5865947,41.9837685
Stod,Czech Republic,13.1647458,49.6390987
Leiden,Netherlands,4.4833003,52.1701159
Lianrao,China,116.986622,23.72513
Xilian,China,110.73404,29.673196
Mukō,Japan,135.7023712,34.9565646
Santa Catalina,Venezuela,-68.917999,7.935298
Revolucion Verde,Mexico,-97.45842,25.8513334
Duyanggang,China,114.600138,38.453095
Keleleng,Indonesia,106.896143,-6.197602
Temyasovo,Russia,58.1242712,52.9850842
Trabulheira,Portugal,-8.7335517,39.7476306
Ar Ruḩaybah,Syria,36.7011138,33.7443314
Metković,Croatia,17.6493431,43.0532801
Araci,Brazil,-39.0710754,-11.2568167
Březová,Czech Republic,17.865273,49.794945
Nanshi,China,113.525165,22.801624
Studená,Czech Republic,13.6430342,49.9606288
Blagodarnyy,Russia,43.4277535,45.149066
Klyuchevsk,Russia,60.9303033,57.1130629
Palaiomonástiron,Greece,21.65861,39.4625
Paltamo,Finland,27.8381469,64.403043
Kukawa,Nigeria,13.5639377,12.9229652
Xiadu,China,118.784812,30.921373
Sarana,Russia,57.7301714,56.4797638
Changnyeong,South Korea,128.4922143,35.5445563
Buriti Bravo,Brazil,-43.8356779,-5.8327847
Cempaka,Indonesia,114.8804853,-3.4892191
Bīrganj,Nepal,84.8672171,27.0449005
Moss,Norway,10.646404,59.4443693
San Agustín,El Salvador,-88.5945715,13.4292207
Danyang,China,119.606439,32.010214
Qvareli,Georgia,45.8147918,41.9483514
Kura,Nigeria,8.4239055,11.7701438
Rodatychi,Ukraine,23.518328,49.799354
Cikabuyutan Barat,Indonesia,107.083333,-6.6
Libofshë,Albania,19.5538336,40.833907
Bello,Colombia,-75.5858886,6.3833462
Novopokrovka,Ukraine,34.6153907,48.0589455
Lela,Indonesia,122.2171695,-8.7377882
Simeykyne,Ukraine,39.53366,48.32643
Lyozna,Belarus,30.8005553,55.024145
Kampot,Cambodia,104.1640355,10.5942421
Longtang,China,110.4153075,19.8838774
Rengasdengklok,Indonesia,107.2946735,-6.1801188
Tsovazard,Armenia,45.0525325,40.4776836
Zalţan,Libya,11.8492577,32.9566376
Fuxing,China,114.462061,36.639033
Crespo,Argentina,-60.6752261,-32.968211
Karabash,Russia,60.2122499,55.456622
Bastan,Russia,79.470665,51.86318
Dadian,China,120.9057,36.867795
Balsas,Brazil,-46.035885,-7.5330309
Lavras da Mangabeira,Brazil,-39.0293884,-6.7821701
Fare,French Polynesia,-151.0340359,-16.7111944
Jatirejo,Indonesia,112.4172256,-7.617735
Pasirlaja,Indonesia,106.8384873,-6.5472126
Chonchi,Chile,-73.7738499,-42.6232593
Klagenfurt am Wörthersee,Austria,14.2652932,46.5884132
Krojo,Indonesia,106.4288088,-6.076643
Skovorodino,Russia,123.9092222,53.9732574
Moulins,France,3.325957,46.571039
Guangping,China,114.948606,36.483484
Tembladera,Peru,-79.129784,-7.2538172
Atlanta,United States,-84.3436881,33.723039
Lakkha Nëvre,Russia,45.2369958,43.6158396
Xiangshui,China,119.578364,34.199479
Xinning,China,110.856622,26.433417
Mompós,Colombia,-74.4028287,9.2209606
Dobrošte,Macedonia,21.07778,42.10333
Hongtang,China,114.157935,22.280436
Palanas,Philippines,120.942358,14.4066158
Bria,Central African Republic,21.9910008,6.5390358
Drammen,Norway,10.2999444,59.7001688
Předklášteří,Czech Republic,16.4024121,49.35253
Ostankinskiy,Russia,37.626119,55.813957
Songmuping,China,111.484536,30.118912
Labuhansumbawa,Indonesia,117.3998369,-8.4734842
Xianyang,China,108.708991,34.329605
Cogtong,Philippines,124.5140325,9.8220686
Ulaan Khat,Mongolia,89.84173,47.98257
Arklow,Ireland,-8.4523258,51.880525
Krajan Srigonco,Indonesia,112.5618,-8.3418
Gap,France,2.3477753,48.8588363
Cape Coast,Ghana,-1.2794744,5.13151
Mangaran,Indonesia,114.0369075,-7.6272472
Ciranca,Indonesia,108.2763069,-7.023104
Paipa,Colombia,-73.114725,5.77977
Zhongtong,China,116.0625588,36.448127
Mairinque,Brazil,-47.1947232,-23.5297232
Černý Most,Czech Republic,14.5744479,50.1064489
Majiadu,China,117.674739,30.953479
Quintães,Portugal,-8.3633682,41.3402313
Jetis,Indonesia,110.363649,-7.783297
Yunxiang,China,116.447949,39.907771
Ayang-ni,North Korea,125.750504,38.235241
Dobrošte,Macedonia,21.07778,42.10333
Ipoh,Malaysia,101.1064003,4.6096768
Dnestrovsc,Moldova,29.91333,46.62222
Cane,Honduras,-87.6568799,14.279014
Danxi,China,120.997332,28.229271
Wenfeng Zhen,China,117.416058,24.410255
Doba,Chad,16.8591387,8.6791925
Su-dong,South Korea,127.4954241,36.6425079
Al Funayţīs,Kuwait,48.118031,29.173201
Nikolayevka,Russia,45.1444,54.1451
Tlogosari,Indonesia,113.9655419,-8.0344803
Belanting,Indonesia,116.5963713,-8.321199
Wuyang,China,113.609286,33.437877
La Virgen,Mexico,-99.581953,19.2535103
Moscow,Russia,30.3865325,59.924661
Wydminy,Poland,22.0325128,53.9818262
Quebradas,Honduras,-87.1242072,14.3770919
Berlin,Germany,13.4343715,52.4867189
Salem,Indonesia,132.311005,-0.754923
Al Maşdūr,Tunisia,10.72746,35.68206
Yelabuga,Russia,52.061524,55.7558426
Llipa,Peru,-77.042754,-12.0463731
Parse,Indonesia,115.2711,-6.8602
Langchi,China,119.583599,26.085391
Pitanga,Brazil,-51.7601166,-24.7592533
Marulanda,Colombia,-75.259705,5.2843859
Kaduseeng,Indonesia,105.9693,-6.3965
San Diego,Venezuela,-67.9583246,10.2535534
Sigay,Philippines,120.5350021,16.9894215
Karbunara e Vogël,Albania,19.71778,40.92194
Kampunglistrik,Indonesia,104.020289,1.135959
Mileb,Philippines,121.1072374,14.6293712
Lima Pampa,Peru,-76.9970692,-11.9417972
Phanna Nikhom,Thailand,103.8680047,17.3233062
Tran,Philippines,120.9644288,14.7572292
Yeghvard,Armenia,44.4869872,40.3234491
Karangasem,Indonesia,115.5207358,-8.3465933
Maumere,Indonesia,122.2146964,-8.6245515
Sembalunbumbung,Indonesia,116.5491893,-8.4044008
Pogorzyce,Poland,19.42228,50.10186
Jomsom,Nepal,83.7730237,28.7746477
Mełgiew,Poland,22.7850797,51.2250373
København,Denmark,12.5720689,55.6782044
Slobodskoy,Russia,50.1704702,58.7103464
Rudnyy,Kazakhstan,63.1128326,52.9718428
Břeclav,Czech Republic,16.905384,48.7320309
Vĩnh Thuận,Vietnam,105.2428853,9.5384134
Dois Córregos,Brazil,-48.3860575,-22.3734081
Nai Harn,Thailand,98.3031575,7.7785093
Ḩāfiz̧ Moghul,Afghanistan,70.40061,37.05643
Périgueux,France,1.0154129,45.156512
Puqian,China,110.580002,20.023731
Guangshan,China,114.91925,32.009995
El Aïoun,Morocco,-2.5098914,34.5824996
Xindian,China,116.694361,37.105382
Limín Khersonísou,Greece,25.39275,35.32297
Shigu,China,112.507849,27.522725
Lucban,Philippines,121.6158104,13.9327517
Maykor,Russia,55.8855974,58.999782
Ivot,Russia,104.292306,52.286684
Herrljunga,Sweden,13.0188387,58.0780287
Belopa,Indonesia,120.3608455,-3.3939043
Jagüey Grande,Cuba,-81.1278814,22.5267186
Fulu,China,4.8925949,52.3716937
Yuetang,China,112.969479,27.872028
Roma,Italy,12.4581209,41.8789317
Karanglo,Indonesia,112.9848168,-7.7623521
Berbek,Indonesia,112.7613933,-7.3427222
Taiyangling,China,106.002647,33.026386
Killarney,Canada,-99.66364,49.18332
Argivai,Portugal,-8.7336232,41.3807001
Kagal’nitskaya,Russia,39.3745033,47.082485
Sepekov,Czech Republic,14.4059275,49.4411457
Sidon,Lebanon,35.372948,33.5570691
Iñapari,Peru,-69.5767704,-10.9492286
Nandu,China,105.417397,24.839129
Barwałd Górny,Poland,19.628749,49.874775
San Miguel Dueñas,Guatemala,-90.7973456,14.523594
Mutā Khān,Afghanistan,68.8663,33.24001
Estacion,Philippines,121.0125865,14.5493917
Yuxi,China,102.527197,24.347324
Versailles,France,2.1203554,48.8048649
Jiefangyan,China,109.746848,28.122424
Kalipucang,Indonesia,108.7511864,-7.6478966
Damaying,China,101.193664,38.341245
Emiliano Zapata,Mexico,-96.5943562,16.3317796
Castillos,Uruguay,-53.8617544,-34.1979128
Kazanskaya,Russia,39.192149,44.0088432
Kalahang,Indonesia,106.1831224,-6.3077304
Al Qiţena,Sudan,32.3668,14.8648
Vostryakovo,Russia,37.4429397,55.6613674
Kyra,Russia,111.9805058,49.5902725
Eṭ Ṭaiyiba,Israel,35.009675,32.266892
Oliveirinha,Portugal,-7.9700042,40.4501529
Kolwezi,Democratic Republic of the Congo,25.5088914,-10.7275273
Novo Cruzeiro,Brazil,-41.9989718,-17.4328946
Psará,Greece,25.5799503,38.5619186
Ina,Japan,140.3354054,37.280716
Estique,Peru,-70.017471,-17.543301
Le Cannet,France,6.9658358,43.5634394
Alingsås,Sweden,12.5362113,57.9300205
Itigi,Tanzania,34.4946697,-5.706302
Wulijie,China,118.270238,25.329044
Laocheng,China,112.469023,34.683646
Chachagüí,Colombia,-77.2520101,1.3796294
Dachuan,China,107.511843,31.196079
Limoges,France,3.5276642,45.521519
Sarandë,Albania,20.0271001,39.8592119
Yanahuanca,Peru,-76.5155834,-10.4911471
Garupá,Argentina,-55.0182151,-26.8191146
Suzdal’,Russia,40.4536153,56.4191591
Baquero Norte,Philippines,120.5726776,15.7325058
Sonsorol Village,Palau,132.2239117,5.3268119
Rāvar,Iran,56.7973878,31.2682228
Beaufort West,South Africa,23.0101345,-32.0974476
Weitang,China,120.649341,31.463475
Kleszczów,Poland,19.3045833,51.2228143
Guadalupe,Mexico,-100.2596935,25.6775595
Huancapallac,Peru,-75.783333,-9.916667
Taphan Hin,Thailand,100.3722477,16.2093368
Santo Antônio de Pádua,Brazil,-42.1837129,-21.5418158
Boršice,Czech Republic,17.3859903,49.0733587
Las Vegas,United States,-115.0228736,36.3193563
Lam Sonthi,Thailand,101.3608214,15.2988083
Vinhas,Portugal,-8.3018059,41.1518573
Shaozhai,China,115.569092,33.379845
Gal’bshtadt,Russia,78.9845,53.2264
Thika,Kenya,37.0833753,-1.0387569
Fuente de Oro,Colombia,-73.6300729,3.3393833
Oke Ila,Nigeria,4.983333,7.95
Charlotte,United States,-80.7842188,35.2037032
Banjar Dauhpangkung,Indonesia,115.0752,-8.5453
Sinait,Philippines,120.4558185,17.8625501
Bairro dos Marinheiros,Portugal,-9.0119332,38.6002724
Lerrnanist,Armenia,44.7899209,40.4670674
Tall Ḩamīs,Syria,41.3986916,36.7558101
Sumy,Ukraine,34.7981,50.9077
Labuhanjambu,Indonesia,118.0771515,-8.68633
Niquero,Cuba,-77.5791358,20.0390282
Zīrakī,Afghanistan,70.5577283,37.5910109
Falköping,Sweden,13.553217,58.175029
Temeke,China,39.2187828,-6.9206542
Jamundí,Colombia,-76.5929658,3.1377116
Baranowo,Poland,21.296838,53.175543
Qal‘eh-ye Khvājeh,Iran,49.4453295,32.2048631
Messina,Italy,15.5532993,38.2305534
Kosamphi Nakhon,Thailand,99.2823264,16.6714164
Kabalen,Philippines,120.671684,15.04538
Biryukove,Ukraine,39.7419209,47.9560267
Kirovohrad,Ukraine,32.262317,48.507933
Masoli,Philippines,123.3810275,13.3656061
Cikawunggading,Indonesia,108.1013637,-7.7414989
Kizil,China,82.502677,41.781418
Jiulian,China,118.184993,31.642397
Waiholo,Indonesia,119.0983524,-9.5179699
Shtip,Macedonia,22.199654,41.746429
Gondanglegi Wetan,Indonesia,112.6407229,-8.1878613
